Timestamp,EC,EC_normal,EC_lower,EC_upper,EC_bias_up,EC_bias_low,EC_drift_up,EC_drift_low,EC_precision,EC_stuck,EC_spike,test_normal,test_bias_up,test_bias_low,test_drift_up,test_drift_low,test_precision,test_stuck,test_spike,serial_normal,serial_bias_up,serial_bias_low,serial_drift_up,serial_drift_low,serial_precision,serial_stuck,serial_spike,EC(t-1),EC(t-2),EC(t-3)
8/30/2023 17:30,1.693300654,1.693300654,1.642501634,1.744099673,2.193300654,1.193300654,1.697900654,1.688700654,1.408351016,2.093627451,1.693300654,1,1,1,0,0,1,1,0,0,1,1,0,0,3,4,0,1.654869281,1.688496732,1.698104575
8/30/2023 17:35,1.696503268,1.696503268,1.64560817,1.747398366,2.196503268,1.196503268,1.701303268,1.691703268,1.587626723,2.093627451,2.196503268,1,1,1,0,0,1,1,1,0,1,1,0,0,3,4,5,1.693300654,1.654869281,1.688496732
8/30/2023 17:40,1.704509804,1.704509804,1.65337451,1.755645098,2.204509804,1.204509804,1.709509804,1.699509804,1.726694322,2.093627451,1.704509804,1,1,1,0,0,0,1,0,0,1,1,0,0,0,4,0,1.696503268,1.693300654,1.654869281
8/30/2023 17:45,1.686895425,1.686895425,1.636288562,1.737502288,2.186895425,1.186895425,1.692095425,1.681695425,1.456696709,2.093627451,1.686895425,1,1,1,0,0,1,1,0,0,1,1,0,0,3,4,0,1.704509804,1.696503268,1.693300654
8/30/2023 17:50,1.706111111,1.706111111,1.654927778,1.757294444,2.206111111,1.206111111,1.711511111,1.700711111,1.781250715,2.093627451,1.706111111,1,1,1,0,0,1,1,0,0,1,1,0,0,3,4,0,1.686895425,1.704509804,1.696503268
8/30/2023 17:54,1.696503268,1.696503268,1.64560817,1.747398366,2.196503268,1.196503268,1.702103268,1.690903268,1.57637553,2.093627451,1.696503268,1,1,1,0,0,1,1,0,0,1,1,0,0,3,4,0,1.706111111,1.686895425,1.704509804
8/30/2023 17:59,1.691699346,1.691699346,1.640948366,1.742450327,2.191699346,1.191699346,1.697499346,1.685899346,1.633360596,2.093627451,1.691699346,1,1,1,0,0,1,1,0,0,1,1,0,0,3,4,0,1.696503268,1.706111111,1.686895425
8/30/2023 18:04,1.698104575,1.698104575,1.647161438,1.749047712,2.198104575,1.198104575,1.704104575,1.692104575,1.577763253,2.093627451,1.698104575,1,1,1,0,0,1,1,0,0,1,1,0,0,3,4,0,1.691699346,1.696503268,1.706111111
8/30/2023 18:09,1.702908497,1.702908497,1.651821242,1.753995752,2.202908497,1.202908497,1.709108497,1.696708497,2.073364134,2.093627451,1.702908497,1,1,1,0,0,1,1,0,0,1,1,0,0,3,4,0,1.698104575,1.691699346,1.696503268
8/30/2023 18:13,1.690098039,1.690098039,1.639395098,1.74080098,2.190098039,1.190098039,1.696498039,1.683698039,1.687398594,2.093627451,2.190098039,1,1,1,0,0,0,1,1,0,1,1,0,0,0,4,5,1.702908497,1.698104575,1.691699346
8/30/2023 18:18,1.693300654,1.693300654,1.642501634,1.744099673,2.193300654,1.193300654,1.699900654,1.686700654,1.481758468,2.093627451,1.693300654,1,1,1,0,0,1,1,0,0,1,1,0,0,3,4,0,1.690098039,1.702908497,1.698104575
8/30/2023 18:23,1.693300654,1.693300654,1.642501634,1.744099673,2.193300654,1.193300654,1.700100654,1.686500654,1.857809636,2.093627451,1.693300654,1,1,1,0,0,1,1,0,0,1,1,0,0,3,4,0,1.693300654,1.690098039,1.702908497
